Run,LibraryLayout,download_path
SRR2753159,SINGLE,ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753159/SRR2753159.sra
SRR2753160,SINGLE,ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753160/SRR2753160.sra
SRR2753161,SINGLE,ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753161/SRR2753161.sra
SRR2753162,SINGLE,ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753162/SRR2753162.sra
SRR2753163,SINGLE,ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753163/SRR2753163.sra
