Run,LibraryLayout,download_path
SRR3541296,PAIRED,ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR354/SRR3541296/SRR3541296.sra
SRR3541297,PAIRED,ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR354/SRR3541297/SRR3541297.sra
SRR3541298,PAIRED,ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR354/SRR3541298/SRR3541298.sra
SRR3541299,PAIRED,ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR354/SRR3541299/SRR3541299.sra
SRR3541300,PAIRED,ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR354/SRR3541300/SRR3541300.sra
